LAT,LON
34.1867,-118.4052
34.0184,-118.2952
34.2509,-118.4303
34.0201,-118.3672
33.9843,-118.3134
34.0802,-118.3564
34.0436,-118.3145
33.9608,-118.2827
34.2129,-118.5425
34.0363,-118.2733
33.947,-118.2462
33.9437,-118.2784
34.0106,-118.2777
34.0325,-118.3492
34.1546,-118.4574
34.0577,-118.3009
34.1016,-118.3471
34.2231,-118.4677
34.2123,-118.606
33.9389,-118.2336
34.0644,-118.2387
34.0908,-118.3157
33.9874,-118.2859
33.9665,-118.2945
34.2047,-118.5879
33.97,-118.3068
33.9763,-118.2915
34.0256,-118.3061
33.9951,-118.2807
34.174,-118.4662
34.0982,-118.2898
34.0401,-118.2459
33.7822,-118.2751
34.0802,-118.1848
33.9747,-118.2674
34.114,-118.1949
34.0889,-118.3321
34.0831,-118.1825
33.9788,-118.2739
33.9347,-118.2761
34.2559,-118.284
34.0784,-118.2577
34.069,-118.3154
34.0392,-118.3062
34.2295,-118.4244
34.0108,-118.3214
34.0171,-118.3531
34.0537,-118.3619
33.9974,-118.2982
33.983,-118.2827
34.0313,-118.2584
34.2105,-118.5263
34.2724,-118.3243
33.9995,-118.2893
34.0191,-118.2081
34.0171,-118.3531
34.0328,-118.323
34.2137,-118.6147
34.006,-118.3305
34.0198,-118.2624
34.0139,-118.259
34.0442,-118.2439
33.947,-118.2684
33.7795,-118.2723
34.2265,-118.4565
33.9654,-118.2739
34.1903,-118.4334
34.0472,-118.3
33.9747,-118.2827
33.9615,-118.4533
34.1939,-118.4243
33.7361,-118.2923
34.1939,-118.4924
34.0561,-118.2375
34.0953,-118.3241
34.0171,-118.3531
34.0709,-118.2941
34.058,-118.2759
34.2084,-118.4599
34.0926,-118.3266
33.9247,-118.2739
34.0442,-118.2439
34.0454,-118.3134
33.7977,-118.2898
33.9916,-118.2981
34.0962,-118.3295
34.0472,-118.3
34.0184,-118.3045
33.9326,-118.2502
34.2039,-118.4205
34.1813,-118.367
33.9933,-118.3138
34.1883,-118.6274
33.7397,-118.2923
34.1766,-118.4589
33.9905,-118.4478
33.9737,-118.2856
34.0779,-118.266
34.0376,-118.2166
34.0366,-118.3357
33.9542,-118.2684
34.0108,-118.3182
33.8887,-118.287
34.0076,-118.2653
33.9942,-118.2783
33.9805,-118.2917
33.9365,-118.2652
33.9924,-118.4495
33.9388,-118.2479
34.0073,-118.298
33.9869,-118.2772
34.1719,-118.5684
34.0291,-118.297
34.0191,-118.2081
34.1684,-118.3982
34.1867,-118.4575
34.1921,-118.5284
34.0802,-118.1769
34.1939,-118.4836
34.0073,-118.433
34.2559,-118.2886
33.9513,-118.2445
33.9542,-118.2827
34.1375,-118.4085
34.0114,-118.2624
33.9473,-118.2396
34.0503,-118.3495
34.0348,-118.2362
34.0846,-118.2868
34.1164,-118.1835
34.1436,-118.3929
34.0255,-118.2959
34.0672,-118.3016
33.999,-118.3113
34.2583,-118.4783
34.0549,-118.2778
34.0615,-118.2412
34.0193,-118.4222
33.9472,-118.2739
33.989,-118.3308
34.0759,-118.171
34.0863,-118.2806
33.9875,-118.286
33.9456,-118.3797
34.0415,-118.2196
34.3105,-118.4334
34.0325,-118.3613
34.0888,-118.2881
34.0727,-118.2637
34.1552,-118.4476
34.0846,-118.2892
34.061,-118.2811
34.0969,-118.2021
34.0653,-118.1871
34.0408,-118.2428
33.9465,-118.2739
34.2265,-118.4553
34.2501,-118.2859
33.7753,-118.2456
33.7869,-118.2599
34.174,-118.4662
34.0969,-118.2021
34.2334,-118.3453
33.9956,-118.4722
33.7866,-118.3044
34.0517,-118.2798
34.1649,-118.379
34.2102,-118.5448
34.0448,-118.2474
33.9565,-118.2761
34.0531,-118.2694
34.0048,-118.2717
34.1903,-118.3812
33.9966,-118.2652
34.069,-118.3104
34.0745,-118.3742
33.9511,-118.263
34.0446,-118.2507
34.0615,-118.2412
34.0428,-118.2461
34.069,-118.3066
34.114,-118.1949
34.0578,-118.4477
34.1794,-118.4319
34.0711,-118.2599
33.9797,-118.2652
34.1017,-118.3072
34.2348,-118.395
34.1829,-118.365
34.0601,-118.2761
33.9806,-118.3046
33.9679,-118.2717
34.2059,-118.571
34.0615,-118.2412
34.1028,-118.3245
34.0283,-118.201
34.2504,-118.5233
33.973,-118.2586
34.0644,-118.232
34.023,-118.351
34.3097,-118.4365
33.7823,-118.2744
33.9805,-118.2937
34.017,-118.3471
34.0949,-118.2243
33.9555,-118.2871
33.9957,-118.249
34.0448,-118.2474
34.1939,-118.4749
34.0188,-118.1973
34.0555,-118.2647
33.9382,-118.2916
33.981,-118.2914
34.0581,-118.3143
34.2121,-118.3889
34.0512,-118.2787
33.9247,-118.2696
33.9237,-118.2597
33.986,-118.2794
34.1831,-118.465
34.067,-118.3647
34.0256,-118.3061
33.9518,-118.2554
34.1376,-118.1907
34.057,-118.2327
34.0691,-118.2979
33.9746,-118.309
34.0761,-118.3648
34.0488,-118.2518
34.2374,-118.4719
34.1867,-118.4465
33.9636,-118.3112
34.1141,-118.2755
34.0155,-118.2915
34.2152,-118.4488
33.9601,-118.2739
34.0136,-118.2653
33.9793,-118.4666
34.2233,-118.3752
34.1922,-118.3997
33.9897,-118.4724
33.9883,-118.4727
34.0461,-118.2476
34.044,-118.2528
34.2734,-118.4267
34.2038,-118.606
33.9942,-118.3089
34.0293,-118.2785
34.3005,-118.4678
34.1939,-118.4662
34.2607,-118.6025
33.9678,-118.2918
34.0337,-118.3031
33.9797,-118.2739
34.1,-118.2885
34.0517,-118.3675
33.9747,-118.286
34.1337,-118.3632
34.0644,-118.232
34.1794,-118.4052
34.0615,-118.2412
34.0727,-118.2954
33.7501,-118.3092
34.1944,-118.5486
34.0072,-118.3201
33.9866,-118.4714
34.0491,-118.4614
34.0409,-118.2234
34.0037,-118.3193
33.9406,-118.2369
34.0455,-118.2452
33.9924,-118.3024
33.9955,-118.4807
33.9806,-118.2838
33.9295,-118.2519
33.9858,-118.4727
34.0278,-118.201
33.9885,-118.4751
33.9415,-118.2436
34.0454,-118.2422
34.2685,-118.4364
34.2373,-118.5361
34.1938,-118.5911
33.9982,-118.3002
34.2034,-118.5852
34.2084,-118.5186
34.0763,-118.3091
33.9345,-118.2623
34.2572,-118.5973
33.9037,-118.2916
34.0364,-118.373
33.9886,-118.4201
33.979,-118.2783
34.3005,-118.4678
33.9622,-118.285
34.0316,-118.2657
33.9633,-118.2739
34.0252,-118.3439
33.9884,-118.2937
33.7805,-118.2781
34.2084,-118.5339
34.103,-118.3225
34.1382,-118.1874
33.958,-118.2904
34.0761,-118.3731
33.9419,-118.2652
33.991,-118.3149
34.0506,-118.2135
34.0442,-118.2439
33.9748,-118.2614
34.0437,-118.2518
33.9546,-118.2739
34.0073,-118.3182
34.2092,-118.5819
34.1052,-118.3348
33.9708,-118.2761
34.0526,-118.2979
34.0672,-118.3091
34.0596,-118.2749
33.9805,-118.2917
34.1008,-118.2347
33.9746,-118.3294
34.2318,-118.4503
34.0997,-118.3361
34.2518,-118.5886
33.9762,-118.3767
34.0061,-118.3089
33.993,-118.2478
34.0617,-118.3091
34.163,-118.3734
34.2138,-118.5383
33.9669,-118.2783
33.9933,-118.28
34.0395,-118.4637
33.9528,-118.2827
34.1063,-118.1995
33.9545,-118.3079
33.9582,-118.309
33.9389,-118.2336
34.1922,-118.3997
33.7835,-118.2438
34.0477,-118.4443
34.1038,-118.3151
33.9506,-118.2419
34.1667,-118.4003
34.0256,-118.3177
34.2009,-118.3941
34.0619,-118.2369
33.9345,-118.2623
34.0596,-118.2749
33.9383,-118.2826
34.0301,-118.2593
34.0113,-118.4298
34.046,-118.2835
34.0563,-118.2374
34.0091,-118.2762
34.0279,-118.2322
33.9983,-118.2762
33.9447,-118.2717
34.194,-118.3746
34.0433,-118.2488
34.1866,-118.4836
33.9794,-118.4664
33.7816,-118.2386
34.1831,-118.3823
34.0564,-118.2879
34.0403,-118.2421
33.9693,-118.285
33.9519,-118.2739
33.9306,-118.2493
34.0764,-118.3786
34.035,-118.3955
33.7243,-118.2963
33.9997,-118.2827
33.9506,-118.2363
33.9708,-118.2761
34.1063,-118.1995
34.0243,-118.1931
33.9348,-118.2487
34.0439,-118.2509
34.2163,-118.4313
34.0146,-118.268
34.0168,-118.2557
34.1922,-118.3823
33.9884,-118.3002
34.1722,-118.3746
34.0581,-118.3091
34.0092,-118.2692
33.7862,-118.2908
