DR_NO,Status,Status Desc
201215282,AA,Adult Arrest
201715612,IC,Invest Cont
200618146,AA,Adult Arrest
202017585,IC,Invest Cont
201414285,IC,Invest Cont
201509341,IC,Invest Cont
201315598,IC,Invest Cont
200308998,IC,Invest Cont
201816124,AA,Adult Arrest
201319061,AA,Adult Arrest
201821407,IC,Invest Cont
201909938,AO,Adult Other
200312552,AO,Adult Other
200318167,IC,Invest Cont
201209707,IC,Invest Cont
201412957,AA,Adult Arrest
200613641,IC,Invest Cont
200307621,IC,Invest Cont
200708839,AA,Adult Arrest
201225824,IC,Invest Cont
201911795,AO,Adult Other
202008207,AA,Adult Arrest
201418024,AA,Adult Arrest
201214665,IC,Invest Cont
200514957,IC,Invest Cont
211204014,IC,Invest Cont
201009370,AA,Adult Arrest
200111423,IC,Invest Cont
201307616,IC,Invest Cont
201714209,IC,Invest Cont
201811487,IC,Invest Cont
201811722,IC,Invest Cont
200614971,AA,Adult Arrest
200118991,IC,Invest Cont
201817785,AO,Adult Other
200320094,IC,Invest Cont
201819549,AA,Adult Arrest
201311731,IC,Invest Cont
201320916,IC,Invest Cont
200310593,IC,Invest Cont
200908938,AO,Adult Other
202012538,IC,Invest Cont
201406559,IC,Invest Cont
201515700,IC,Invest Cont
201806995,AO,Adult Other
201420156,IC,Invest Cont
201226482,IC,Invest Cont
201116185,AA,Adult Arrest
202010970,IC,Invest Cont
200410143,IC,Invest Cont
201218464,AA,Adult Arrest
200814286,AO,Adult Other
200604228,IC,Invest Cont
200100528,AA,Adult Arrest
200610707,IC,Invest Cont
200315717,AO,Adult Other
200708243,AA,Adult Arrest
200610221,IC,Invest Cont
201820284,IC,Invest Cont
201113033,AO,Adult Other
200618841,AA,Adult Arrest
200713873,AO,Adult Other
201909405,JA,Juv Arrest
200515177,IC,Invest Cont
201105807,JA,Juv Arrest
200615676,AA,Adult Arrest
201204524,IC,Invest Cont
201915764,AA,Adult Arrest
200215426,AA,Adult Arrest
200914943,AO,Adult Other
200213521,IC,Invest Cont
201512578,IC,Invest Cont
201821314,IC,Invest Cont
201314491,IC,Invest Cont
201807438,AA,Adult Arrest
201819953,IC,Invest Cont
200100578,AA,Adult Arrest
202005550,AA,Adult Arrest
201204457,IC,Invest Cont
202110740,AA,Adult Arrest
201320726,AO,Adult Other
201611836,AO,Adult Other
201810045,IC,Invest Cont
200212207,IC,Invest Cont
201218005,JA,Juv Arrest
201321167,IC,Invest Cont
200912618,IC,Invest Cont
200111334,AA,Adult Arrest
201225069,IC,Invest Cont
200610885,IC,Invest Cont
201316231,AA,Adult Arrest
200517240,AO,Adult Other
201209720,IC,Invest Cont
201817526,IC,Invest Cont
201214708,AO,Adult Other
202108172,IC,Invest Cont
200215587,AA,Adult Arrest
201212388,AA,Adult Arrest
201513074,IC,Invest Cont
201713682,IC,Invest Cont
201015533,IC,Invest Cont
211806777,IC,Invest Cont
202107618,AO,Adult Other
201808239,IC,Invest Cont
200105126,IC,Invest Cont
201214763,AA,Adult Arrest
201219570,IC,Invest Cont
200309318,IC,Invest Cont
201912862,IC,Invest Cont
201907944,AO,Adult Other
201220616,AO,Adult Other
200612937,IC,Invest Cont
201200716,IC,Invest Cont
201005429,IC,Invest Cont
200206554,IC,Invest Cont
200908695,AA,Adult Arrest
201110760,AA,Adult Arrest
200516278,AO,Adult Other
201312469,AO,Adult Other
201304976,AO,Adult Other
201419785,IC,Invest Cont
200713112,IC,Invest Cont
