DR_NO,AREA,AREA NAME,Rpt Dist No,LOCATION,Cross Street,LAT,LON,,,,,,,,,,,,,,,
201207275,12,77th Street,1208,500 W 47TH ST,,34.0007,-118.2827,,,,,,,,,,,,,,,
201614307,16,Foothill,1675,11100 TUXFORD ST,,34.2322,-118.3745,,,,,,,,,,,,,,,
201507435,15,N Hollywood,1585,10900 BLUFFSIDE DR,,34.1414,-118.3686,,,,,,,,,,,,,,,
200619190,6,Hollywood,636,HOLLYWOOD BL,VINE ST,34.1016,-118.3267,,,,,,,,,,,,,,,
201113722,11,Northeast,1112,4400 COLLEGE VIEW AV,,34.1275,-118.2226,,,,,,,,,,,,,,,
202016869,20,Olympic,2058,900 ELDEN AV,,34.053,-118.2877,,,,,,,,,,,,,,,
201321540,13,Newton,1325,HOOPER ST,ADAMS BL,34.0164,-118.2502,,,,,,,,,,,,,,,
201414735,14,Pacific,1453,4300 ALLA RD,,33.989,-118.434,,,,,,,,,,,,,,,
200209963,2,Rampart,218,600 LAVETA TR,,34.0693,-118.2582,,,,,,,,,,,,,,,
202110843,21,Topanga,2126,21200 SATICOY ST,,34.2136,-118.5912,,,,,,,,,,,,,,,
201812828,18,Southeast,1802,88TH PL,GRAND AV,33.9568,-118.2804,,,,,,,,,,,,,,,
201606882,16,Foothill,1633,GLENOAKS,TERRA BELLA,34.2677,-118.4051,,,,,,,,,,,,,,,
200714691,7,Wilshire,779,1700 4TH AV,,34.0399,-118.3213,,,,,,,,,,,,,,,
200408471,4,Hollenbeck,497,1400 S GRANDE VISTA AV,,34.0201,-118.2104,,,,,,,,,,,,,,,
201821381,18,Southeast,1861,120TH ST,VERMONT AV,33.9237,-118.2915,,,,,,,,,,,,,,,
200909277,9,Van Nuys,926,6600 HAZELTINE AV,,34.1907,-118.44,,,,,,,,,,,,,,,
201406315,14,Pacific,1494,700 WORLD WY,,33.9432,-118.4013,,,,,,,,,,,,,,,
200408110,4,Hollenbeck,412,2600 PASADENA AV,,34.0806,-118.2176,,,,,,,,,,,,,,,
200315436,3,Southwest,375,1800 W MARTIN LUTHER KING JR BL,,34.0146,-118.313,,,,,,,,,,,,,,,
200412990,4,Hollenbeck,416,3700 MERCURY AV,,34.0845,-118.2002,,,,,,,,,,,,,,,
200322053,3,Southwest,395,4100 S WESTERN AV,,34.0091,-118.3089,,,,,,,,,,,,,,,
201812802,18,Southeast,1832,10700 S BROADWAY,,33.9392,-118.2781,,,,,,,,,,,,,,,
202014805,20,Olympic,2036,700 S CATALINA ST,,34.058,-118.2954,,,,,,,,,,,,,,,
201418618,14,Pacific,1472,6700 ESPLANADE ST,,33.9593,-118.4495,,,,,,,,,,,,,,,
200406997,4,Hollenbeck,407,3600 OAK HILL AV,,34.0872,-118.1866,,,,,,,,,,,,,,,
201212094,12,77th Street,1213,1900 W 54TH ST,,33.9933,-118.3113,,,,,,,,,,,,,,,
201013874,10,West Valley,1033,6100 WILBUR AV,,34.1806,-118.5447,,,,,,,,,,,,,,,
202013555,20,Olympic,2023,400 S HARVARD BL,,34.0654,-118.3041,,,,,,,,,,,,,,,
201208722,12,77th Street,1251,6900 10TH AV,,33.9765,-118.328,,,,,,,,,,,,,,,
200504370,5,Harbor,504,1600 W 204TH ST,,33.8457,-118.3066,,,,,,,,,,,,,,,
200508078,5,Harbor,585,1100 W 19TH ST,,33.727,-118.3012,,,,,,,,,,,,,,,
200215210,2,Rampart,269,700 S BIXEL ST,,34.0507,-118.2643,,,,,,,,,,,,,,,
200509873,5,Harbor,529,ANAHEIM ST,LAKME AV,33.7802,-118.2593,,,,,,,,,,,,,,,
201916122,19,Mission,1915,HUBBARD ST,GLENOAKS BL,34.2995,-118.4392,,,,,,,,,,,,,,,
202010692,20,Olympic,2017,100 S NEW HAMPSHIRE AV,,34.0727,-118.2929,,,,,,,,,,,,,,,
201915288,19,Mission,1964,VAN NUYS BL,GLEDHILL ST,34.2413,-118.4502,,,,,,,,,,,,,,,
201822313,18,Southeast,1831,500 W 120TH ST,,33.9237,-118.2831,,,,,,,,,,,,,,,
201308198,13,Newton,1363,900 E 50TH ST,,33.9976,-118.26,,,,,,,,,,,,,,,
201405040,14,Pacific,1413,200 5TH AV,,33.9995,-118.4758,,,,,,,,,,,,,,,
201117128,11,Northeast,1143,4300 AMBROSE AV,,34.1097,-118.2853,,,,,,,,,,,,,,,
200812395,8,West LA,855,10900 OHIO AV,,34.0531,-118.4423,,,,,,,,,,,,,,,
200616305,6,Hollywood,644,1400 N GARDNER ST,,34.0962,-118.3529,,,,,,,,,,,,,,,
200614152,6,Hollywood,659,DE LONGPRE AV,KINGSLEY DR,34.0967,-118.3031,,,,,,,,,,,,,,,
201609919,16,Foothill,1645,12600 REMINGTON ST,,34.2665,-118.4081,,,,,,,,,,,,,,,
201422229,14,Pacific,1465,11900 JEFFERSON BL,,33.985,-118.4034,,,,,,,,,,,,,,,
201611866,16,Foothill,1611,11600 WOODCOCK AV,,34.2814,-118.4269,,,,,,,,,,,,,,,
200406004,4,Hollenbeck,468,3100 GLEASON AV,,34.0388,-118.2008,,,,,,,,,,,,,,,
201321621,13,Newton,1342,35TH ST,MAPLE AV,34.0164,-118.2699,,,,,,,,,,,,,,,
200611184,6,Hollywood,629,5600 SPREADING OAK DR,,34.1141,-118.3116,,,,,,,,,,,,,,,
201227169,12,77th Street,1256,7200 S FIGUEROA ST,,33.9741,-118.2827,,,,,,,,,,,,,,,
200207134,2,Rampart,271,2200 W OLYMPIC BL,,34.0522,-118.281,,,,,,,,,,,,,,,
201907715,19,Mission,1981,8400 ORION AV,,34.2231,-118.4721,,,,,,,,,,,,,,,
201513009,15,N Hollywood,1549,5500 BONNER AV,,34.17,-118.3741,,,,,,,,,,,,,,,
201810331,18,Southeast,1834,300 E 106TH ST,,33.9402,-118.2695,,,,,,,,,,,,,,,
200617107,6,Hollywood,643,FULLER AV,HOLLYWOOD BL,34.1016,-118.3489,,,,,,,,,,,,,,,
200714763,7,Wilshire,779,1700 3RD AV,,34.0409,-118.3201,,,,,,,,,,,,,,,
200113116,1,Central,192,500 W WASHINGTON BL,,34.0363,-118.2672,,,,,,,,,,,,,,,
201216820,12,77th Street,1251,7400 CRENSHAW BL,,33.9723,-118.3309,,,,,,,,,,,,,,,
200800003,8,West LA,855,1600 MALCOLM AV,,34.052,-118.4371,,,,,,,,,,,,,,,
201104861,11,Northeast,1151,SUNSET,KENMORE,34.0981,-118.2972,,,,,,,,,,,,,,,
201217423,12,77th Street,1243,6700 S VAN NESS AV,,33.9774,-118.3177,,,,,,,,,,,,,,,
201710061,17,Devonshire,1735,17100 HORACE ST,,34.2701,-118.5056,,,,,,,,,,,,,,,
201422237,14,Pacific,1488,5700 W CENTURY BL,,33.9456,-118.3797,,,,,,,,,,,,,,,
201614210,16,Foothill,1612,13100 PAXTON ST,,34.2793,-118.4185,,,,,,,,,,,,,,,
201217948,12,77th Street,1242,6400 S VAN NESS AV,,33.9818,-118.3221,,,,,,,,,,,,,,,
201109903,11,Northeast,1171,1600 GOLDEN GATE AV,,34.0904,-118.2753,,,,,,,,,,,,,,,
200619468,6,Hollywood,647,1500 N GOWER ST,,34.098,-118.3223,,,,,,,,,,,,,,,
201010937,10,West Valley,1088,16300 W VENTURA BL,,34.157,-118.488,,,,,,,,,,,,,,,
201010865,10,West Valley,1024,18700 LEMAY ST,,34.1908,-118.5404,,,,,,,,,,,,,,,
201010605,10,West Valley,1029,15800 VANOWEN ST,,34.1976,-118.4799,,,,,,,,,,,,,,,
201307212,13,Newton,1331,HILL ST,ADAMS,34.0248,-118.2715,,,,,,,,,,,,,,,
201908105,19,Mission,1959,10000 BARTEE AV,,34.2522,-118.4339,,,,,,,,,,,,,,,
201904996,19,Mission,1958,14200 VAN NUYS BL,,34.251,-118.4428,,,,,,,,,,,,,,,
201223968,12,77th Street,1259,7300 AVALON BL,,33.973,-118.2652,,,,,,,,,,,,,,,
201204188,12,77th Street,1245,1400 W 66TH ST,,33.9792,-118.3003,,,,,,,,,,,,,,,
201714797,17,Devonshire,1794,18500 CHASE ST,,34.2246,-118.5361,,,,,,,,,,,,,,,
201709947,17,Devonshire,1759,AQUEDUCT AV,ROMAR,34.2546,-118.474,,,,,,,,,,,,,,,
201216470,12,77th Street,1235,1400 W 60TH ST,,33.9859,-118.3002,,,,,,,,,,,,,,,
