DR_NO,AREA,AREA NAME,Rpt Dist No,LOCATION,Cross Street,LAT,LON,,,,,,,,,,,,,,,
210612940,6,Hollywood,639,1700 N KINGSLEY DR,,34.1018,-118.3035,,,,,,,,,,,,,,,
210813305,8,West LA,832,11600 MAYFIELD AV,,34.0531,-118.4618,,,,,,,,,,,,,,,
210814817,8,West LA,817,1000 BROXTON AV,,34.0621,-118.4467,,,,,,,,,,,,,,,
210607958,6,Hollywood,667,6000 FOUNTAIN AV,,34.0944,-118.3212,,,,,,,,,,,,,,,
211413670,14,Pacific,1483,8500 GULANA AV,,33.9589,-118.4346,,,,,,,,,,,,,,,
210210362,2,Rampart,205,700 N VENDOME ST,,34.0794,-118.2768,,,,,,,,,,,,,,,
210915216,9,Van Nuys,914,15200 SHERMAN WY,,34.2011,-118.4642,,,,,,,,,,,,,,,
211116995,11,Northeast,1173,1900 N ALVARADO ST,,34.0884,-118.2569,,,,,,,,,,,,,,,
211414323,14,Pacific,1477,7800 TRUXTON AV,,33.9667,-118.3934,,,,,,,,,,,,,,,
211406664,14,Pacific,1427,11000 ROSE AV,,34.0224,-118.4216,,,,,,,,,,,,,,,
210413250,4,Hollenbeck,466,1ST,MOTT,34.0421,-118.206,,,,,,,,,,,,,,,
210804886,8,West LA,858,1600 S CREST DR,,34.0496,-118.3875,,,,,,,,,,,,,,,
210319047,3,Southwest,327,2600 ORCHARD AV,,34.0303,-118.2874,,,,,,,,,,,,,,,
210316156,3,Southwest,315,2200 W 23RD ST,,34.036,-118.3155,,,,,,,,,,,,,,,
210319082,3,Southwest,358,1000 W 34TH ST,,34.024,-118.2869,,,,,,,,,,,,,,,
211410980,14,Pacific,1456,4200 LINDBLADE DR,,33.9952,-118.4211,,,,,,,,,,,,,,,
210315364,3,Southwest,328,700 W 27TH ST,,34.0281,-118.2788,,,,,,,,,,,,,,,
210709342,7,Wilshire,727,100 N HIGHLAND AV,,34.0736,-118.3385,,,,,,,,,,,,,,,
210816650,8,West LA,851,1500 S BUNDY DR,,34.0402,-118.4629,,,,,,,,,,,,,,,
212018422,20,Olympic,2033,600 S WESTERN AV,,34.0568,-118.3091,,,,,,,,,,,,,,,
210315558,3,Southwest,392,3200 W 48TH ST,,34,-118.3282,,,,,,,,,,,,,,,
210815872,8,West LA,841,1300 S CARMELINA AV,,34.0398,-118.4673,,,,,,,,,,,,,,,
210110476,1,Central,157,500 S SAN PEDRO ST,,34.0438,-118.2441,,,,,,,,,,,,,,,
211706877,17,Devonshire,1752,9900 LURLINE AV,,34.2536,-118.5913,,,,,,,,,,,,,,,
210811169,8,West LA,812,300 N KENTER AV,,34.0635,-118.4819,,,,,,,,,,,,,,,
211906339,19,Mission,1985,14600 PARTHENIA ST,,34.2271,-118.4503,,,,,,,,,,,,,,,
210112731,1,Central,171,800 W OLYMPIC BL,,34.045,-118.264,,,,,,,,,,,,,,,
210316634,3,Southwest,338,1200 W 30TH ST,,34.0274,-118.29,,,,,,,,,,,,,,,
211412967,14,Pacific,1467,5900 W CENTER DR,,33.9751,-118.3873,,,,,,,,,,,,,,,
210317919,3,Southwest,325,2800 MENLO AV,,34.0313,-118.2903,,,,,,,,,,,,,,,
212116620,21,Topanga,2148,6800 DELCO AV,,34.1941,-118.5779,,,,,,,,,,,,,,,
211506935,15,N Hollywood,1548,11100 CHANDLER BL,,34.1681,-118.3725,,,,,,,,,,,,,,,
210110141,1,Central,139,900 E 3RD ST,,34.0459,-118.2352,,,,,,,,,,,,,,,
211408598,14,Pacific,1409,3600 CARDIFF AV,,34.0272,-118.3977,,,,,,,,,,,,,,,
210316673,3,Southwest,398,600 W 40TH PL,,34.0106,-118.2842,,,,,,,,,,,,,,,
211412435,14,Pacific,1444,3200 CARTER AV,,33.9868,-118.4451,,,,,,,,,,,,,,,
211409274,14,Pacific,1407,3600 DUNN DR,,34.0252,-118.4014,,,,,,,,,,,,,,,
210805394,8,West LA,832,11700 KIOWA AV,,34.0498,-118.4641,,,,,,,,,,,,,,,
211314250,13,Newton,1361,200 W 45TH ST,,34.0029,-118.2762,,,,,,,,,,,,,,,
211012837,10,West Valley,1033,6200 BECKFORD AV,,34.1827,-118.5514,,,,,,,,,,,,,,,
212013308,20,Olympic,2027,3500 W 6TH ST,,34.0636,-118.2992,,,,,,,,,,,,,,,
211411815,14,Pacific,1426,3400 SAWTELLE BL,,34.0207,-118.4271,,,,,,,,,,,,,,,
210619950,6,Hollywood,668,5600 LEXINGTON AV,,34.0928,-118.3132,,,,,,,,,,,,,,,
211417601,14,Pacific,1411,OCEAN FRONT WK,OZONE,33.9952,-118.4811,,,,,,,,,,,,,,,
211004515,10,West Valley,1039,6700 WOODLEY AV,,34.1924,-118.4837,,,,,,,,,,,,,,,
210315319,3,Southwest,325,1400 W 28TH ST,,34.0296,-118.2959,,,,,,,,,,,,,,,
211510539,15,N Hollywood,1548,5400 FAIR AV,,34.1681,-118.3743,,,,,,,,,,,,,,,
210813403,8,West LA,832,11700 MAYFIELD AV,,0,0,,,,,,,,,,,,,,,
211107789,11,Northeast,1132,2800 WAVERLY DR,,34.1084,-118.2639,,,,,,,,,,,,,,,
220304052,3,Southwest,357,3500 S BUDLONG AV,,34.0242,-118.2959,,,,,,,,,,,,,,,
212018430,20,Olympic,2019,100 S VIRGIL AV,,34.0732,-118.2868,,,,,,,,,,,,,,,
210312177,3,Southwest,356,3700 S WESTERN AV,,34.0208,-118.3089,,,,,,,,,,,,,,,
211414349,14,Pacific,1452,3100 VIA DOLCE,,33.979,-118.4621,,,,,,,,,,,,,,,
211311654,13,Newton,1362,400 E 47TH ST,,34.0007,-118.2696,,,,,,,,,,,,,,,
212011135,20,Olympic,2024,3700 W 6TH ST,,34.0636,-118.3041,,,,,,,,,,,,,,,
220805328,8,West LA,841,1200 ARMACOST AV,,34.0423,-118.4656,,,,,,,,,,,,,,,
210609995,6,Hollywood,643,7200 HOLLYWOOD BL,,34.1016,-118.3471,,,,,,,,,,,,,,,
211410028,14,Pacific,1406,3700 KEYSTONE AV,,34.0201,-118.4068,,,,,,,,,,,,,,,
210320803,3,Southwest,318,1200 W 22ND ST,,34.036,-118.2849,,,,,,,,,,,,,,,
210805900,8,West LA,841,1300 S CARMELINA AV,,34.0398,-118.4673,,,,,,,,,,,,,,,
211413433,14,Pacific,1472,6700 ESPLANADE ST,,33.9593,-118.4495,,,,,,,,,,,,,,,
212007120,20,Olympic,2081,ST ANDREWS,18TH,34.0418,-118.3134,,,,,,,,,,,,,,,
210315949,3,Southwest,327,1200 W ADAMS BL,,34.0328,-118.2865,,,,,,,,,,,,,,,
211016073,10,West Valley,1061,19800 VENTURA BL,,34.1724,-118.5645,,,,,,,,,,,,,,,
210712988,7,Wilshire,739,300 S ARDEN BL,,34.0671,-118.3259,,,,,,,,,,,,,,,
210807943,8,West LA,833,10900 ASHTON AV,,34.0577,-118.4438,,,,,,,,,,,,,,,
212008504,20,Olympic,2022,WESTERN AV,WILSHIRE BL,34.0617,-118.3091,,,,,,,,,,,,,,,
211509576,15,N Hollywood,1549,LANKERSHIM,CHANDLER,34.1689,-118.3774,,,,,,,,,,,,,,,
211714071,17,Devonshire,1795,17600 RAYMER ST,,34.2264,-118.5178,,,,,,,,,,,,,,,
211414651,14,Pacific,1467,5900 W CENTER DR,,33.9751,-118.3873,,,,,,,,,,,,,,,
210809466,8,West LA,881,PICO BL,CENTINELA AV,34.0281,-118.4528,,,,,,,,,,,,,,,
210121006,1,Central,139,900 E 3RD ST,,34.0459,-118.2352,,,,,,,,,,,,,,,
210804478,8,West LA,895,3200 CLUB DR,,34.0319,-118.4028,,,,,,,,,,,,,,,
211518096,15,N Hollywood,1522,13100 WELBY WY,,34.1928,-118.4209,,,,,,,,,,,,,,,
210114117,1,Central,135,200 S MAIN ST,,34.0506,-118.2449,,,,,,,,,,,,,,,
211415714,14,Pacific,1432,600 MILWOOD AV,,33.9908,-118.4647,,,,,,,,,,,,,,,
211104989,11,Northeast,1152,4400 CAMERO AV,,34.1009,-118.2849,,,,,,,,,,,,,,,
210120154,1,Central,161,1000 W 8TH ST,,34.0487,-118.2627,,,,,,,,,,,,,,,
211412978,14,Pacific,1432,900 MILWOOD AV,,33.9959,-118.4611,,,,,,,,,,,,,,,
211408061,14,Pacific,1407,3500 DUNN DR,,34.0273,-118.4029,,,,,,,,,,,,,,,
210710854,7,Wilshire,721,400 S LA CIENEGA BL,,34.0702,-118.3764,,,,,,,,,,,,,,,
211422010,14,Pacific,1438,3700 OVERLAND AV,,34.0199,-118.4125,,,,,,,,,,,,,,,
211409272,14,Pacific,1464,13000 VILLOSA PL,,33.9735,-118.4256,,,,,,,,,,,,,,,
210117297,1,Central,151,500 S FIGUEROA ST,,34.0521,-118.2573,,,,,,,,,,,,,,,
210316034,3,Southwest,318,1200 W 23RD ST,,34.0352,-118.284,,,,,,,,,,,,,,,
210807154,8,West LA,884,2200 MALCOLM AV,,34.0435,-118.4287,,,,,,,,,,,,,,,
210917902,9,Van Nuys,923,6400 VAN NUYS BL,,34.1903,-118.4574,,,,,,,,,,,,,,,
210807700,8,West LA,851,11900 IDAHO AV,,34.039,-118.461,,,,,,,,,,,,,,,
211417830,14,Pacific,1412,200 S MAIN ST,,33.9974,-118.479,,,,,,,,,,,,,,,
210120195,1,Central,118,900 N BROADWAY,,34.064,-118.2375,,,,,,,,,,,,,,,
210107747,1,Central,119,800 N ALAMEDA ST,,34.0561,-118.2375,,,,,,,,,,,,,,,
210108481,1,Central,162,800 S FIGUEROA ST,,34.0476,-118.2615,,,,,,,,,,,,,,,
211421770,14,Pacific,1454,13100 MINDINAO WY,,33.9832,-118.4327,,,,,,,,,,,,,,,
210807530,8,West LA,836,SANTA MONICA BL,PROSSER AV,34.0536,-118.4293,,,,,,,,,,,,,,,
210204290,2,Rampart,237,100 WITMER ST,,34.0621,-118.2608,,,,,,,,,,,,,,,
211410445,14,Pacific,1464,13000 VILLOSA PL,,33.9735,-118.4256,,,,,,,,,,,,,,,
210113567,1,Central,138,200 S LOS ANGELES ST,,34.0485,-118.2448,,,,,,,,,,,,,,,
211421076,14,Pacific,1413,1200 ELECTRIC AV,,33.9919,-118.4686,,,,,,,,,,,,,,,
210108083,1,Central,182,1200 S HOPE ST,,34.0406,-118.2646,,,,,,,,,,,,,,,
211505936,15,N Hollywood,1543,5300 HERMITAGE AV,,34.1667,-118.4004,,,,,,,,,,,,,,,
211406209,14,Pacific,1463,5300 PLAYA VISTA DR,,33.9749,-118.4281,,,,,,,,,,,,,,,
210119197,1,Central,152,7TH,FLOWER,34.0487,-118.2588,,,,,,,,,,,,,,,
